x y groupName
3.2149 0.6900 cluster_2
0.3454 -1.7954 cluster_0
-3.3352 0.2276 cluster_1
-1.7903 -2.0026 cluster_0
-4.3070 -0.9943 cluster_0
-0.1798 1.0188 cluster_1
-1.4763 -4.0574 cluster_0
-4.6044 0.7845 cluster_1
0.3587 -0.2300 cluster_2
4.8797 0.2414 cluster_2
-1.7481 -2.6957 cluster_0
0.9725 -3.1902 cluster_0
0.2468 -1.0338 cluster_0
1.9144 -1.5833 cluster_2
-0.4593 1.1001 cluster_1
-1.9842 -1.9889 cluster_0
1.4457 2.1446 cluster_2
2.8349 -1.4818 cluster_2
-0.6687 -1.9059 cluster_0
-1.6445 -3.9370 cluster_0
2.7419 -1.7212 cluster_2
-3.1822 -3.2625 cluster_0
0.0518 -1.4483 cluster_0
-2.5473 1.8337 cluster_1
3.5853 0.1152 cluster_2
-0.9493 2.6330 cluster_1
0.8796 2.1647 cluster_2
-2.1609 0.4672 cluster_1
0.0249 -2.1458 cluster_0
-1.0871 -1.1929 cluster_0
0.9425 -0.2836 cluster_2
-1.6325 3.1962 cluster_1
4.9205 0.0757 cluster_2
-3.6211 0.8522 cluster_1
1.3947 -3.7140 cluster_0
-0.6568 -0.7070 cluster_0
-0.0326 0.3650 cluster_1
0.1295 3.3096 cluster_1
-1.7589 -1.9662 cluster_0
3.2632 -1.8179 cluster_2
-1.0808 -2.7142 cluster_0
-0.5758 -0.7108 cluster_0
-0.8642 3.1236 cluster_1
-2.2493 2.2640 cluster_1
1.9367 -2.0008 cluster_2
2.1931 1.4868 cluster_2
1.7920 -1.2513 cluster_2
0.2564 -4.6363 cluster_0
4.1581 1.3876 cluster_2
3.2424 1.9568 cluster_2
1.8904 -4.1867 cluster_0
-0.9049 1.9589 cluster_1
1.2830 -0.0324 cluster_2
2.7781 -0.0927 cluster_2
0.1381 -1.5703 cluster_0
-2.5933 1.3408 cluster_1
-0.0609 -0.7999 cluster_0
1.3426 -1.8767 cluster_0
-1.9561 1.0914 cluster_1
-1.9254 -3.2900 cluster_0
0.3017 0.3340 cluster_2
0.3380 1.5656 cluster_1
-2.7171 -1.4133 cluster_0
-1.5572 -3.4915 cluster_0
-1.5331 4.0959 cluster_1
1.6111 0.7008 cluster_2
3.0431 0.2793 cluster_2
-0.4722 -2.8073 cluster_0
3.0963 0.0509 cluster_2
-0.2050 0.2506 cluster_1
2.5323 -1.7909 cluster_2
-0.2217 3.0509 cluster_1
0.3962 -2.2365 cluster_0
-2.4718 -1.0325 cluster_0
1.2292 0.4163 cluster_2
-1.7984 3.1357 cluster_1
1.8509 1.9101 cluster_2
0.7064 3.3713 cluster_1
-3.9361 -0.2477 cluster_1
-3.2936 0.9691 cluster_1
-2.2633 -4.2904 cluster_0
1.5367 1.5450 cluster_2
1.4329 -2.8827 cluster_0
-0.2330 3.3122 cluster_1
-2.0875 -3.0274 cluster_0
-2.2931 -4.2803 cluster_0
-1.9685 -2.8615 cluster_0
1.1988 3.9774 cluster_1
3.5852 1.3687 cluster_2
2.1124 1.0413 cluster_2
1.7514 0.0202 cluster_2
-2.3898 0.4776 cluster_1
1.8244 -0.4891 cluster_2
0.5545 1.7559 cluster_2
0.2891 1.6529 cluster_1
2.4909 3.6726 cluster_2
2.1176 2.5593 cluster_2
2.6910 -0.3253 cluster_2
-1.3739 1.8955 cluster_1
-3.6944 0.7586 cluster_1
1.1174 -1.9526 cluster_0
3.5872 -1.0106 cluster_2
-2.2263 -0.6235 cluster_0
-2.0096 -0.7329 cluster_0
2.2058 2.9452 cluster_2
-0.6435 -0.7217 cluster_0
-4.2448 0.2458 cluster_1
-0.0970 1.5170 cluster_1
0.9935 -0.0916 cluster_2
0.3913 -0.2302 cluster_2
-1.6876 -3.5572 cluster_0
-3.8336 -0.6146 cluster_1
0.7924 3.4555 cluster_1
-0.0649 -2.5029 cluster_0
0.4189 3.6194 cluster_1
1.8717 -2.8083 cluster_0
1.0416 -0.1789 cluster_2
1.9491 3.6909 cluster_2
1.1924 -2.1237 cluster_0
-2.2371 0.8970 cluster_1
1.3467 1.1941 cluster_2
1.2692 -1.0560 cluster_2
0.6925 -0.1188 cluster_2
0.0608 -0.4993 cluster_0
1.0493 -2.6635 cluster_0
-1.2450 -0.6896 cluster_0
-3.3507 1.9717 cluster_1
0.0053 -0.1504 cluster_2
2.6062 -1.4771 cluster_2
0.6700 -3.7647 cluster_0
-2.6582 -3.5000 cluster_0
-4.5410 -0.8392 cluster_0
3.9569 -1.3046 cluster_2
-1.0656 -0.1776 cluster_1
-1.6554 -3.4073 cluster_0
-0.2576 4.0238 cluster_1
2.1691 -1.0417 cluster_2
0.6679 2.0905 cluster_2
1.9643 -4.2605 cluster_0
4.8175 -1.0925 cluster_2
3.0384 1.1795 cluster_2
-0.1913 -0.0315 cluster_1
-2.5668 0.1590 cluster_1
1.0536 1.8660 cluster_2
1.8697 -1.1847 cluster_2
3.5335 2.8509 cluster_2
-0.7618 -0.0067 cluster_1
-2.6746 0.8729 cluster_1
0.7425 0.3584 cluster_2
0.0629 -1.7664 cluster_0
-2.3692 0.7407 cluster_1
-0.2937 -1.0910 cluster_0
-0.1514 0.1722 cluster_1
-1.6324 2.2834 cluster_1
-1.6998 -1.4563 cluster_0
-4.7610 0.6771 cluster_1
1.2837 0.2122 cluster_2
0.1777 1.5128 cluster_1
-0.7858 0.7538 cluster_1
-3.0287 0.4628 cluster_1
2.4532 -3.5631 cluster_0
-1.4003 -4.3763 cluster_0
2.1259 -0.4883 cluster_2
0.7226 1.3476 cluster_2
2.2437 1.4808 cluster_2
0.9993 -0.6294 cluster_2
-2.2914 1.9052 cluster_1
-0.5349 2.9256 cluster_1
0.5871 0.8381 cluster_2
1.3456 1.3543 cluster_2
2.6922 3.0606 cluster_2
-4.4234 -0.9783 cluster_0
0.3167 -1.8339 cluster_0
2.7343 3.0130 cluster_2
-0.8113 0.3213 cluster_1
-2.1953 1.8227 cluster_1
-0.9103 2.1650 cluster_1
3.5922 0.7306 cluster_2
-0.4776 -1.9999 cluster_0
2.5438 0.0897 cluster_2
0.6369 4.5112 cluster_1
0.9267 -1.3760 cluster_0
-2.5929 1.2019 cluster_1
-4.6702 -0.6628 cluster_1
